2023-12-23 00:47:31,153- INFO - Uygulama Basliyor, StreamName: batuhanberkeelma Port: 8787
2023-12-23 00:47:32,810- INFO - HTTP Request: GET https://www.tiktok.com/@batuhanberkeelma/live "HTTP/1.1 200 OK"
2023-12-23 00:47:34,138- INFO - HTTP Request: GET https://webcast.tiktok.com/webcast/room/info/?aid=1988&app_language=tr-Tr&app_name=tiktok_web&browser_language=tr&browser_name=Mozilla&browser_online=True&browser_platform=Win32&browser_version=5.0+%28Windows+NT+10.0%3B+Win64%3B+x64%29+AppleWebKit%2F537.36+%28KHTML%2C+like+Gecko%29+Chrome%2F102.0.5005.63+Safari%2F537.36&cookie_enabled=True&cursor=&internal_ext=&device_platform=web&focus_state=True&from_page=user&history_len=4&is_fullscreen=False&is_page_visible=True&did_rule=3&fetch_rule=1&last_rtt=0&live_id=12&resp_content_type=protobuf&screen_height=1152&screen_width=2048&tz_name=Europe%2FBerlin&referer=https%3A%2F%2Fwww.tiktok.com%2F&root_referer=https%3A%2F%2Fwww.tiktok.com%2F&msToken=&version_code=180800&webcast_sdk_version=1.3.0&update_version_code=1.3.0&room_id=7315527790888274694 "HTTP/1.1 200 OK"
2023-12-23 00:47:34,958- INFO - HTTP Request: GET https://webcast.tiktok.com/webcast/gift/list/?aid=1988&app_language=tr-Tr&app_name=tiktok_web&browser_language=tr&browser_name=Mozilla&browser_online=True&browser_platform=Win32&browser_version=5.0+%28Windows+NT+10.0%3B+Win64%3B+x64%29+AppleWebKit%2F537.36+%28KHTML%2C+like+Gecko%29+Chrome%2F102.0.5005.63+Safari%2F537.36&cookie_enabled=True&cursor=&internal_ext=&device_platform=web&focus_state=True&from_page=user&history_len=4&is_fullscreen=False&is_page_visible=True&did_rule=3&fetch_rule=1&last_rtt=0&live_id=12&resp_content_type=protobuf&screen_height=1152&screen_width=2048&tz_name=Europe%2FBerlin&referer=https%3A%2F%2Fwww.tiktok.com%2F&root_referer=https%3A%2F%2Fwww.tiktok.com%2F&msToken=&version_code=180800&webcast_sdk_version=1.3.0&update_version_code=1.3.0&room_id=7315527790888274694 "HTTP/1.1 200 OK"
2023-12-23 00:47:36,189- INFO - HTTP Request: GET https://tiktok.eulerstream.com/webcast/fetch/?aid=1988&app_language=tr-Tr&app_name=tiktok_web&browser_language=tr&browser_name=Mozilla&browser_online=True&browser_platform=Win32&browser_version=5.0+%28Windows+NT+10.0%3B+Win64%3B+x64%29+AppleWebKit%2F537.36+%28KHTML%2C+like+Gecko%29+Chrome%2F102.0.5005.63+Safari%2F537.36&cookie_enabled=True&cursor=&internal_ext=&device_platform=web&focus_state=True&from_page=user&history_len=4&is_fullscreen=False&is_page_visible=True&did_rule=3&fetch_rule=1&last_rtt=0&live_id=12&resp_content_type=protobuf&screen_height=1152&screen_width=2048&tz_name=Europe%2FBerlin&referer=https%3A%2F%2Fwww.tiktok.com%2F&root_referer=https%3A%2F%2Fwww.tiktok.com%2F&msToken=&version_code=180800&webcast_sdk_version=1.3.0&update_version_code=1.3.0&room_id=7315527790888274694&client=ttlive-python&uuc=1&apiKey= "HTTP/1.1 200 OK"
2023-12-23 00:47:37,353- INFO - Connected to Room ID:7315527790888274694
2023-12-23 00:47:37,930- INFO - Gift Bilgileri,UserName: 𝓡𝓾𝓶𝓮𝔂𝓼𝓪🫶🏼 , Name: Rose, Cost: 1, Streakable : True , Count : 1 , Streaking: True
2023-12-23 00:47:37,930- INFO - Gift Bilgileri,UserName: Ebrar_652 , Name: Rose, Cost: 1, Streakable : True , Count : 1 , Streaking: True
2023-12-23 00:47:38,749- INFO - Gift Bilgileri,UserName: Yıldız🌹 , Name: Rose, Cost: 1, Streakable : True , Count : 1 , Streaking: False
2023-12-23 00:47:40,314- INFO - Gift Bilgileri,UserName: Merve , Name: Rose, Cost: 1, Streakable : True , Count : 1 , Streaking: True
2023-12-23 00:47:40,315- INFO - Gift Bilgileri,UserName: 𝓡𝓾𝓶𝓮𝔂𝓼𝓪🫶🏼 , Name: Rose, Cost: 1, Streakable : True , Count : 1 , Streaking: False
2023-12-23 00:47:40,315- INFO - Gift Bilgileri,UserName: Helin , Name: Rose, Cost: 1, Streakable : True , Count : 1 , Streaking: True
2023-12-23 00:47:41,132- INFO - Gift Bilgileri,UserName: Ebrar_652 , Name: Rose, Cost: 1, Streakable : True , Count : 1 , Streaking: False
2023-12-23 00:47:43,534- INFO - Gift Bilgileri,UserName: Helin , Name: Rose, Cost: 1, Streakable : True , Count : 1 , Streaking: False
2023-12-23 00:47:44,380- INFO - Gift Bilgileri,UserName: Merve , Name: Rose, Cost: 1, Streakable : True , Count : 1 , Streaking: False
2023-12-23 00:47:47,657- INFO - Gift Bilgileri,UserName: Gizem , Name: Rose, Cost: 1, Streakable : True , Count : 1 , Streaking: True
2023-12-23 00:47:50,830- INFO - Gift Bilgileri,UserName: Gizem , Name: Rose, Cost: 1, Streakable : True , Count : 1 , Streaking: False
2023-12-23 00:48:11,869- INFO - Gift Bilgileri,UserName: 𝓡𝓾𝓶𝓮𝔂𝓼𝓪🫶🏼 , Name: Heart, Cost: 10, Streakable : True , Count : 1 , Streaking: True
